@relation I__fullcorpus_sentence_coae2014

@attribute text string
@attribute @@class@@ {0,1}

@data
'操 你 妹 的 三星 ， 还 我 手机 啊 ， 刚来 就 遇到 这种 事情 打死',0
'3 年前 ， 有 笔 闲钱 。 让 老爸 到 银行 给 我 办个 理财 。 结果 老爸 听 了 保险公司 的 忽悠 ， 给 我 办成 保险 基金 。 这样 ， 三年 来 ， 本金 少 了 好几万 ！   心里 恨 恨 的 ， 还要 安慰 老爸 。 唉 ！',0
'安邦 的 保险 永远 我 都 不会 选择 ! 工作人员 操',0
'这 好人 做 的 ， 把 自己 气坏 了 ， 觉得 电话 推销 保险 的 不 容易 ， 没挂 电话 让 她 说 ， 尊重 她 的 工作 ， 结果 还 一口 一个 反问 ， 有 被 损 的 感觉 ， 奶奶 的 以后 再有 保险 的 电话 给 我 ， 别怪 老子 了 ， 一律 直接 挂 ， 听 了 这么 多 电话 第一次 碰到 这',0
'那 搞 保险 的 不 都 是 上门服务 么 ， 这 新华 保险 够 牛 逼 的',0
'扯淡 吧 上 保险 前 说 送 您 这个 赠品 送 您 那个 赠品 等 你 交 了 钱 屁 都 没 送 这 就是 平',0
'我 觉得 三星 的 手机   屏幕 太暗 了   亮度 调到 顶 也 还是 看 得 不爽  ',0
'对于 那些 在 自己 岗位 上 兢兢业业 、 坚守 职责 交了 一辈子 养老金 ， 却 因为 吃 了 无数 地沟油 、 臭 皮鞋 ， 只活 到 65 岁 就 个 屁 的 人 来说 ， 这 可恶 的 延迟 退休 和 所谓 的 养老 保',0
'特别 提醒 ！ ！ ！ 如果 有 打算 入手 三星 I9300 （ 盖世 3 ） 水货 的 朋友 ， 奉劝 你们 一定 要 找 信得过 的 电商 购买 ！ 勒 才 一个月 ， 连续 出 了 两次 问题 老 （ 主板 问题 { 给 的 答复 是 运气 不好 ｝ 今天 又 突然 黑屏 ， 再也 打不开 。 。 。 ~ ~ ~ ~ ~ ~ 如果 下次 维修 还 需要 钱 的话 ， 我',0
'我 今天 刚刚 去 中英 人寿 退保 ， 损失 了',0
'医疗保险 是 干什么 用 的 呢 ？ 奇怪 ， ， 拯救 社会 不如 让 百姓 的 医保 都 完善 了 ， ， 那样 有 保险 了 ， 害怕 讹诈',0
'这 他 妈',0
'亲爱 的 ， 我 手机 也 不好 用 了 ， 闹钟 不响   读卡器 那 也 读 不出 手机卡 ， 三星 啊 ， 你 让 我们 情何',0
'保险 都 是 骗人 的 、 买 了 一份 平安 万能 竟然 不 经 允许 、 自动 从 你 银行卡 上 扣钱 ， 真是 气愤 ， 并且 还 说 你 自己 的 错 无人 受理 。   《 刘翔 受伤 保险公司 只 赔 6000 元 》   ( 来自   浪 财经 )   http : / / t . c',0
'我 擦 ， 三星 手机 的 价格 太 让 人 心情 起伏 了 ， 则 手机 两个 月 前 买 的 9100 买 2200 还是 淘宝 里面 中等 偏下 的 价格 了 ， 9200 淘宝 里 还要 三千多 ！ 现在 刚看 了 一眼 ， 9100 现在 只要 1700 左右 ， 9200 才 2200 左右 ， 9300 才 三千多 点 ， 则 价格 太 不靠 谱 了 哇 ！ 才 两个 月 啊 ~ ~ ~ 还是 被 小米 2 打压 的 结果',0
'三星 的 手',0
'可恶 的 肇事者 ！ 可恶 的 保',0
'浦发银行 的 信用卡 一刷 ， 卖 保险 的 马上 给 我 打电话 。 拒绝 了 ， 也 没有 ， 持续',0
'据说 今年 又 要 整体 涨工资 ， 可是 这个 社会 很 不 公平 ， 自由职业者 缺 永远 无法 享受 这种 待遇 ， 可是 缴纳 的 社保 费用 却 年 年 提高 ， 尤其 是 医疗保险 ， 和 公职人员 就 更 无法 相比 ， 我们 十几年 从来不 看 一次 病 ， 可是 我们 又 享受 到 什么 了 ？ 这',0
'这 三星 的 S8500 真是 一朵 奇葩 ， 官网 说 行货 手机 内置 高德 导航 软件 ， 找 了 半天 也 没 找到 在 哪 ， 也 不知 是不是 随机 标配 了 Micro - SD 卡而 我 这台 被 漏掉 了 ， 自己 掏钱 买 了 4G 卡后 网上 下 了 号称 是 行货 手机 内置 的 高德 导航 软件 ， 看 好不容易 下 完后 发现 这 手机 的 GPS 要 20 分钟 才能 搜 到 卫星 … … 而 那 地图 ，',0
'这才 几个 月 啊 ， 手机 已经 蜕皮 了 ， 厂商 就是 因为 要 给 手机 衣服 商 一口 饭 吃 ， 所以 才 会学 这种 豆腐渣工程 么 下午 去 买件 衣服 穿 上 吧 ， 等爷 手头 宽裕',0
'昨晚 有 几次 没有 把持 住 ， 速度 太快 ， 硬 着 给 闯过去 了 ， 坑爹 的 规则 。 但 我 一 想想 当时 我 把持 住 给 停 了 下来 我会 被 追尾 的 ， 追尾 者 肯定 全责 ， 走 保险 ， 重装 前后 保险杠 。 保险公司 ， 工厂 ， 交',0
'手机 坏 了',0
'不是 很 明白 这种 清理 行动 。 即便 不是 以 自有 资金 出资 ， 也 可以 由 信托 计划 转给 固有 业务部门 ， 信托公司 怎么 会 无法 证明 资金来源 呢 ？ 保险公司 的 上市 为',0
'老 胳膊 老腿儿 真是 不行 阿 ， 昨晚 我 坚持 要 某人 帮 我 拍 航母 起飞 的 指挥 动作 ， 姐 觉得 太 好玩儿 了 ， 也 想 模仿 一回 ， 哪 只 每次 等 我 摆好 姿势 蹲下去 ， 某人 还 未 拍 ， 我 就 支持不住 一 屁股 坐 地上 了 ， 哎 ， 你 说 我 到底 是 该 怪 三星 手机 拍照 反应 太慢 ， 还',0
'美国 有 统计 ， 每 在 健身 领域 上花 一 美元 ， 就 可 在 医药 领域 少花 7 美元 。 怪不得 欧美 日本 滴 保险公司 都 是 与 健身房 合作 ， 只要 在 健身房 消费 足够 多 的 次数 ， 次年 即可 抵扣 保费 。 一里 一外 保险公司',0
'单方 事故 是不是 一定 有免 陪 ？ 停车 被 别的 车蹭伤 ， 找 不到 对方 ， 我 自己 走 保险 修要 免 陪 30 \% ？ 我 说 我 撞 天桥 边上 蹭 的 ， 要免 陪 100 块 ， 我 买 保险 是 干什么 的 ？ 国 大地 保险 官微   你们 是 众 汽车   自己 的 保险公司 吧 ， 这么 能 搞 ？ 明年 肯定 不买 你们 了 …',0
'被 招行 卖 保险 的 忽',0
'惨 啊 ！ 我 的 三星 手机 又 毫无 征兆 的 自动 断网 了 ～ ～ ， 我 都 不 知道 是否 有 错过 重要 通知 ， 每个 周未 都 将 它 供 起来 ， 时刻 抚摸 着 它 ， 生怕 它 罢工 … 以前 网断 了 ， 信号 指示 也 没 了 ， 现在 ， 网断 了 ， 信号 竟然 显示 是',0
'我 靠 ！ 住房 公积金 700 多 ， 养老保险 1200 多',0
'看到 工资单 上 的 养老保险 和 失',0
'我 手机 的 网速 快到 让 人 撕心裂肺 的 程度 ， 三星 啊 ， 我 的 是不是 山寨 呀 ？ 因为 我 在 营业厅 买 的 吗 ？ 为什么 别人 跟 我 同款 却 没有 问题 。 ( O _',0
'三星 的 kies 系统 和 itunes 相比 ， 简直 就是 弱 爆 了 。 无法 管理 手机软件 ， 无法 在 电脑 上 下载 app ， 同步 音乐 居然 不 知道 自己 的 手机 支持 什么样 的 文件格式 ， 很 顺利 同步 了 一堆 m4a 格式 上去 ， 最后 播放 不 出来 ， 还 很 牛 x 的 说 可以 从 itun',0
'以前 吧 ， 我 也 一直 一块 电池 用 ， 最近 发现 当年 买手机 是 人家 还给 了 我 个 备用 电池 ， 于是 最近 我 每天 都 在 勤换 电池 ， 之前 看 了 个 段子 是 说 用 三星 的 的 三大 爱好 之一 就是 换 电池 ， 真 不是 盖 的 ！ ！ 天天 换 电池 真的 很 崩溃 啊 ， 从 这点 我 是 瞧见 了 ip',0
'手机 不能 上网 了 ... 妈 的 ， 三星 你',0
把,0
